OID,param,emissions
469,Total,147.840682
470,Total,178.44667
471,Total,164.983825
472,Total,180.508041
473,Total,164.408401
474,Total,201.519729
475,Total,185.442184
476,Total,292.95346
477,Total,360.561096
479,Total,174.56314
480,Total,26.177778
481,Total,150.123626
483,Total,414.46466
485,Total,128.057464
486,Total,79.812126
490,Total,234.943466
493,Total,215.205337
494,Total,147.768676
495,Total,189.171478
496,Total,194.643325
497,Total,172.779617
498,Total,91.58522
499,Total,53.508235
500,Total,18.687614
501,Total,15.272351
502,Total,30.145584
503,Total,5.769326
504,Total,361.937774
505,Total,355.706237
507,Total,293.512359
508,Total,105.187026
509,Total,227.167861
511,Total,214.602615
512,Total,68.013954
513,Total,119.509696
514,Total,162.858352
515,Total,173.651473
516,Total,179.600128
517,Total,122.545883
518,Total,143.77983
519,Total,219.202148
520,Total,205.298828
521,Total,203.819091
522,Total,300.912292
523,Total,275.439086
525,Total,414.768524
526,Total,185.200119
529,Total,148.631179
530,Total,293.951263
531,Total,191.631652
532,Total,60.063018
537,Total,190.496032
538,Total,92.367996
539,Total,125.730926
540,Total,199.055068
541,Total,125.019775
542,Total,143.970748
543,Total,32.240772
545,Total,24.464609
546,Total,49.404369
547,Total,30.889959
548,Total,6.478461
549,Total,357.374877
550,Total,404.849334
551,Total,310.394134
552,Total,262.325378
553,Total,397.185607
554,Total,260.003784
555,Total,93.2089
557,Total,378.762603
558,Total,219.510375
559,Total,156.012619
560,Total,196.515365
561,Total,228.317077
562,Total,208.097671
563,Total,166.018737
564,Total,86.419578
565,Total,147.237197
566,Total,259.34555
567,Total,156.174514
568,Total,202.953048
570,Total,355.872283
573,Total,191.894119
574,Total,176.715057
575,Total,63.575531
576,Total,89.261619
577,Total,111.773857
581,Total,86.499359
582,Total,104.491851
583,Total,115.931289
584,Total,127.300498
585,Total,124.393188
586,Total,35.324787
587,Total,79.0624
588,Total,32.240772
590,Total,24.464609
591,Total,49.404369
592,Total,30.889959
593,Total,351.70816
594,Total,827.796875
595,Total,507.521087
596,Total,371.723999
597,Total,451.393005
598,Total,295.579467
599,Total,474.101409
600,Total,400.119873
601,Total,97.288986
602,Total,369.90805
603,Total,210.071899
604,Total,261.399505
605,Total,293.614501
606,Total,210.744766
607,Total,171.596603
608,Total,173.344757
609,Total,165.245666
610,Total,247.909393
611,Total,170.335449
614,Total,62.748832
616,Total,34.831974
617,Total,60.854549
618,Total,73.010025
619,Total,93.29116
620,Total,131.187042
621,Total,155.114044
622,Total,173.16751
623,Total,89.875434
624,Total,80.293167
625,Total,128.843582
626,Total,104.491851
627,Total,115.931289
628,Total,127.300498
629,Total,124.393188
630,Total,35.324787
631,Total,79.0624
632,Total,21.143915
633,Total,17.486276
634,Total,27.435913
635,Total,23.928901
636,Total,26.839038
637,Total,351.70816
638,Total,827.796875
639,Total,507.521087
640,Total,371.723999
641,Total,369.227447
642,Total,180.335006
643,Total,216.886306
644,Total,67.65036
645,Total,115.232284
646,Total,73.095115
647,Total,133.020965
648,Total,127.306503
649,Total,215.312423
650,Total,110.235061
651,Total,226.838851
652,Total,218.436203
653,Total,193.745193
654,Total,229.181747
655,Total,191.46434
656,Total,373.160003
657,Total,263.088165
660,Total,34.831974
661,Total,60.854549
662,Total,73.010025
663,Total,93.29116
