OID,param,emissions
638,Total,1.126925
639,Total,2.318841
640,Total,2.235271
641,Total,0.423341
642,Total,0.522787
643,Total,1.143452
644,Total,1.610048
645,Total,1.195858
646,Total,1.235347
647,Total,1.006116
648,Total,0.188125
649,Total,0.320568
650,Total,0.305999
651,Total,0.803047
652,Total,0.780943
653,Total,0.617875
654,Total,0.588725
655,Total,0.690938
656,Total,1.138937
657,Total,0.686993
658,Total,0
661,Total,0.960259
668,Total,0.676024
669,Total,1.022489
670,Total,0.211322
671,Total,0.601687
672,Total,0.436652
673,Total,0.20412
674,Total,0.155695
675,Total,0.097704
676,Total,0.221314
678,Total,0.166623
681,Total,0.344125
682,Total,0.419089
683,Total,2.260037
684,Total,2.502505
685,Total,1.805835
686,Total,0.423341
687,Total,0.522787
688,Total,1.143452
689,Total,1.610048
690,Total,1.195858
691,Total,1.235347
692,Total,1.006116
693,Total,0.188125
694,Total,0.320568
695,Total,0.305999
696,Total,0.803047
697,Total,0.780943
698,Total,0.617875
699,Total,0.588725
700,Total,0.690938
701,Total,1.138937
702,Total,0.686993
703,Total,0
705,Total,1.066914
706,Total,0.671113
707,Total,0.40209
708,Total,1.494222
709,Total,1.443613
710,Total,2.025583
711,Total,2.106614
712,Total,0.60166
713,Total,0.625843
714,Total,0.975431
715,Total,0.18797
716,Total,0.422849
717,Total,0.277462
718,Total,0.192115
719,Total,0.147364
726,Total,0.538371
727,Total,0.620848
728,Total,0.908146
729,Total,0.833322
730,Total,0.425722
731,Total,0.396154
732,Total,0.397974
733,Total,0.66586
734,Total,0.853815
735,Total,1.516576
736,Total,0.99827
737,Total,1.033327
738,Total,0.448044
739,Total,0.306143
740,Total,0.278459
741,Total,0.224864
742,Total,0.607537
743,Total,0.620671
745,Total,0.637917
746,Total,0.738647
749,Total,0.748632
750,Total,0.460537
751,Total,0.3997
752,Total,0.453256
753,Total,1.598142
754,Total,3.153596
755,Total,2.028709
756,Total,0.538441
757,Total,0.694383
758,Total,0.787201
759,Total,0.758147
761,Total,0.383201
762,Total,0.214625
763,Total,0.239036
764,Total,0.216436
765,Total,0.176305
766,Total,0.141892
767,Total,0.234561
770,Total,0.630917
771,Total,0.611028
772,Total,0.777768
773,Total,0.657583
774,Total,0.612336
775,Total,0.476102
776,Total,0.64208
777,Total,0.552299
778,Total,0.547217
779,Total,0.792963
780,Total,0.765202
781,Total,0.505411
782,Total,0.598856
783,Total,0.732089
784,Total,0.490079
785,Total,0.208337
786,Total,0.211078
787,Total,0.989023
788,Total,0.449223
789,Total,0.628683
793,Total,0.476137
794,Total,0.503986
795,Total,0.38827
796,Total,1.468938
797,Total,1.407452
798,Total,1.829058
799,Total,3.470986
800,Total,0.741288
801,Total,0.743731
802,Total,1.000473
804,Total,0.13061
805,Total,0.134056
806,Total,0.267364
807,Total,0.275135
808,Total,0.129737
809,Total,0.111107
810,Total,0.088804
812,Total,0.94306
813,Total,1.001106
814,Total,1.164035
815,Total,0.933614
816,Total,1.023347
817,Total,0.577235
818,Total,0.50349
819,Total,0.655087
820,Total,0.480382
821,Total,0.509782
822,Total,0.56736
823,Total,0.342061
824,Total,0.399657
825,Total,0.527921
826,Total,0.386386
827,Total,0.647791
828,Total,0.565563
830,Total,0.326958
834,Total,0.616484
835,Total,0.581312
836,Total,0.516923
837,Total,0.571473
838,Total,0.507649
839,Total,0.755727
840,Total,1.226247
841,Total,1.611299
843,Total,1.291376
845,Total,0.125498
846,Total,0.288778
847,Total,0.211673
848,Total,0.208789
849,Total,0.101457
851,Total,0.988082
852,Total,1.100698
853,Total,0.772566
854,Total,0.821342
855,Total,0.887845
856,Total,0.978204
857,Total,1.377654
858,Total,0.942383
