OID,param,emissions
469,Total,100.772064
470,Total,137.335449
471,Total,84.979354
472,Total,61.543464
473,Total,61.127826
474,Total,60.220973
475,Total,35.990665
476,Total,50.164894
477,Total,76.278312
479,Total,33.545486
480,Total,33.03334
481,Total,72.894386
483,Total,289.499572
485,Total,39.128364
486,Total,69.463134
490,Total,55.967555
493,Total,53.131427
494,Total,22.592027
495,Total,30.336744
496,Total,35.833358
497,Total,26.751747
498,Total,72.098243
499,Total,40.316638
500,Total,17.377151
501,Total,8.606165
502,Total,7.441984
503,Total,0.448753
504,Total,34.549289
505,Total,292.516998
507,Total,182.340225
508,Total,192.140792
509,Total,103.806587
511,Total,201.787017
512,Total,35.872955
513,Total,73.108215
514,Total,102.294677
515,Total,78.726051
516,Total,81.20433
517,Total,63.111679
518,Total,53.234138
519,Total,63.819343
520,Total,60.84885
521,Total,43.129753
522,Total,85.564407
523,Total,54.462589
525,Total,151.434188
526,Total,94.913436
529,Total,69.974739
530,Total,103.335533
531,Total,75.514587
532,Total,60.177097
537,Total,53.733852
538,Total,42.198009
539,Total,20.775646
540,Total,35.24438
541,Total,52.459831
542,Total,37.051746
543,Total,33.884243
545,Total,14.06423
546,Total,22.95104
547,Total,7.34061
548,Total,0.691084
549,Total,34.166183
550,Total,329.903472
551,Total,226.524642
552,Total,177.414733
553,Total,247.086166
554,Total,166.895324
555,Total,68.194442
557,Total,93.713951
558,Total,46.840213
559,Total,66.056846
560,Total,86.053901
561,Total,80.515762
562,Total,60.681842
563,Total,55.09864
564,Total,57.589355
565,Total,63.686561
566,Total,61.380352
567,Total,59.758262
568,Total,47.728855
570,Total,150.92662
573,Total,95.163681
574,Total,83.520248
575,Total,76.158416
576,Total,101.492088
577,Total,80.06295
581,Total,18.427328
582,Total,17.200654
583,Total,43.106292
584,Total,32.883785
585,Total,39.753841
586,Total,17.779729
587,Total,36.973037
588,Total,33.884243
590,Total,14.06423
591,Total,22.95104
592,Total,7.34061
593,Total,32.770259
594,Total,92.338645
595,Total,310.782653
596,Total,280.494628
597,Total,322.473144
598,Total,138.334335
599,Total,152.135253
600,Total,176.795806
601,Total,111.991485
602,Total,128.325012
603,Total,41.282295
604,Total,80.395744
605,Total,63.108013
606,Total,44.522266
607,Total,42.834465
608,Total,76.831634
609,Total,75.754341
610,Total,102.743286
611,Total,73.428184
614,Total,98.572769
616,Total,108.811912
617,Total,55.098205
618,Total,60.883163
619,Total,61.287021
620,Total,67.461402
621,Total,72.996696
622,Total,62.597465
623,Total,34.672958
624,Total,18.126449
625,Total,17.220268
626,Total,17.200654
627,Total,43.106292
628,Total,32.883785
629,Total,39.753841
630,Total,17.779729
631,Total,36.973037
632,Total,23.724395
633,Total,15.315777
634,Total,13.685176
635,Total,17.443893
636,Total,7.780597
637,Total,32.770259
638,Total,92.338645
639,Total,310.782653
640,Total,280.494628
641,Total,280.455749
642,Total,201.160797
643,Total,67.077003
644,Total,70.144912
645,Total,51.62231
646,Total,29.678117
647,Total,26.146263
648,Total,24.516942
649,Total,52.940372
650,Total,25.668184
651,Total,43.78672
652,Total,39.449821
653,Total,40.032028
654,Total,93.815505
655,Total,72.010871
656,Total,138.239059
657,Total,101.760704
660,Total,108.811912
661,Total,55.098205
662,Total,60.883163
663,Total,61.287021
664,Total,67.461402
665,Total,72.996696
666,Total,62.597465
667,Total,34.672958
668,Total,18.126449
669,Total,17.220268
670,Total,18.25234
671,Total,31.115638
672,Total,66.589866
673,Total,46.563388
674,Total,15.172993
675,Total,38.537818
676,Total,15.625703
677,Total,19.611833
678,Total,13.670189
679,Total,8.849966
680,Total,10.652688
681,Total,21.23973
682,Total,26.46467
683,Total,373.33081
684,Total,389.941925
685,Total,316.623718
686,Total,280.455749
687,Total,201.160797
688,Total,67.077003
689,Total,70.144912
690,Total,51.62231
691,Total,29.678117
692,Total,26.146263
693,Total,24.516942
694,Total,52.940372
695,Total,25.668184
696,Total,43.78672
697,Total,39.449821
698,Total,40.032028
699,Total,93.815505
700,Total,72.010871
701,Total,138.239059
702,Total,101.760704
705,Total,68.117294
706,Total,71.422515
707,Total,91.312316
708,Total,78.003387
709,Total,70.056068
710,Total,81.359771
711,Total,94.509811
712,Total,39.891216
713,Total,30.954662
714,Total,19.624616
715,Total,16.588079
716,Total,39.794887
717,Total,58.204727
718,Total,59.90805
719,Total,19.480604
720,Total,37.886402
721,Total,28.19535
723,Total,15.319718
724,Total,13.706539
725,Total,1.055166
726,Total,40.536106
727,Total,241.201431
728,Total,422.140899
729,Total,380.028015
730,Total,216.884765
731,Total,247.01622
732,Total,138.960693
733,Total,66.93634
734,Total,127.203178
735,Total,119.289855
736,Total,23.823143
737,Total,39.579944
738,Total,63.577861
739,Total,27.309209
740,Total,20.012226
741,Total,22.617528
742,Total,52.085891
743,Total,85.80632
744,Total,88.458862
745,Total,65.205085
746,Total,106.953697
747,Total,73.890892
749,Total,32.353481
750,Total,77.245849
751,Total,83.779457
752,Total,85.510948
753,Total,22.905412
754,Total,34.24208
755,Total,55.144672
756,Total,175.832901
757,Total,25.942869
758,Total,16.240615
759,Total,8.843629
760,Total,13.261679
761,Total,42.026844
762,Total,21.499387
763,Total,27.233411
764,Total,15.408459
765,Total,51.710243
766,Total,39.082492
767,Total,18.969326
768,Total,20.143615
769,Total,0.733881
770,Total,43.690044
771,Total,51.475193
772,Total,344.59259
773,Total,402.781097
774,Total,450.364105
775,Total,348.487609
776,Total,356.578948
777,Total,140.719543
778,Total,97.684265
779,Total,74.05146
780,Total,62.37022
781,Total,68.475181
782,Total,60.199851
783,Total,39.287235
784,Total,38.551574
785,Total,21.24895
786,Total,63.790851
787,Total,88.169792
788,Total,90.198379
789,Total,97.940864
790,Total,83.614936
791,Total,84.28112
793,Total,35.568073
794,Total,37.036083
795,Total,51.811252
796,Total,52.8619
797,Total,21.021898
798,Total,21.812217
799,Total,74.090301
800,Total,140.396423
801,Total,19.922988
802,Total,10.485154
803,Total,14.624851
804,Total,71.512069
805,Total,26.357088
806,Total,89.074127
807,Total,60.475696
808,Total,47.706455
809,Total,25.073852
810,Total,25.43939
811,Total,13.970337
812,Total,79.939002
813,Total,345.304626
814,Total,501.370544
815,Total,471.737487
816,Total,322.857025
817,Total,221.832244
818,Total,164.065795
819,Total,121.33641
820,Total,93.958824
821,Total,128.623657
822,Total,99.291725
823,Total,38.168834
824,Total,31.215608
825,Total,62.81866
826,Total,46.829528
827,Total,75.064369
828,Total,95.329086
829,Total,82.005142
830,Total,85.937553
831,Total,89.955696
832,Total,116.175445
834,Total,37.568855
835,Total,38.460475
836,Total,60.344337
837,Total,52.325172
838,Total,20.061237
839,Total,22.958589
840,Total,85.903976
841,Total,89.046287
842,Total,10.839426
843,Total,12.50331
844,Total,12.030976
845,Total,112.959938
846,Total,74.016792
847,Total,41.865726
848,Total,30.981353
849,Total,43.585796
850,Total,21.302902
851,Total,43.895507
852,Total,49.179981
853,Total,61.805568
854,Total,76.364204
855,Total,401.522399
856,Total,363.09674
857,Total,339.727447
858,Total,311.207397
859,Total,174.236785
860,Total,244.771926
861,Total,175.220718
862,Total,86.825775
863,Total,111.899955
864,Total,68.340385
865,Total,88.637588
866,Total,37.590896
867,Total,37.442665
868,Total,60.790508
869,Total,115.186698
870,Total,72.644836
871,Total,116.328445
872,Total,102.614952
873,Total,266.64392
874,Total,303.565643
876,Total,157.597747
877,Total,45.091941
878,Total,44.194435
879,Total,69.492698
880,Total,24.366138
881,Total,31.712959
882,Total,138.60762
883,Total,60.195209
884,Total,13.394517
885,Total,130.267517
886,Total,10.125606
887,Total,19.757913
888,Total,17.082672
889,Total,50.837894
890,Total,60.089851
891,Total,44.622802
892,Total,31.618167
893,Total,14.532503
894,Total,0.379187
895,Total,44.098304
896,Total,55.965511
897,Total,216.741729
898,Total,312.768402
899,Total,516.304748
900,Total,478.586547
901,Total,384.706512
902,Total,372.579711
903,Total,268.278778
904,Total,175.428756
905,Total,117.873771
906,Total,134.87001
907,Total,143.731735
908,Total,228.791137
909,Total,63.812808
910,Total,56.08533
911,Total,40.702117
912,Total,81.700798
913,Total,97.179039
914,Total,203.648757
915,Total,119.055229
916,Total,97.153366
917,Total,54.639274
920,Total,48.236835
921,Total,83.642501
922,Total,91.65866
923,Total,89.046989
924,Total,72.990875
925,Total,36.139472
926,Total,44.151725
927,Total,58.755062
928,Total,13.668386
929,Total,8.802084
930,Total,18.29437
931,Total,24.938398
932,Total,19.152498
933,Total,42.720771
934,Total,28.426609
935,Total,26.053176
936,Total,5.310198
937,Total,10.294498
938,Total,44.653011
939,Total,501.775512
940,Total,525.678955
941,Total,420.58966
942,Total,369.968933
943,Total,330.443481
944,Total,293.915008
945,Total,191.946426
946,Total,194.999343
947,Total,238.249282
948,Total,224.840469
949,Total,142.440353
950,Total,110.895576
951,Total,134.024078
952,Total,158.988204
953,Total,147.573089
954,Total,138.154632
955,Total,249.416427
956,Total,130.827392
957,Total,53.954483
960,Total,41.243469
961,Total,56.89714
962,Total,81.676414
963,Total,90.682106
964,Total,108.802597
965,Total,96.56681
966,Total,73.104881
967,Total,69.482482
968,Total,168.596313
969,Total,13.78071
970,Total,8.741666
971,Total,8.948498
972,Total,19.611604
973,Total,12.546663
974,Total,25.751136
975,Total,15.452768
976,Total,12.395443
977,Total,7.206862
978,Total,0.415581
979,Total,50.030033
980,Total,47.235118
981,Total,539.576416
982,Total,420.034576
983,Total,360.595092
984,Total,334.781188
985,Total,222.243728
986,Total,243.009796
987,Total,326.397064
988,Total,324.252136
989,Total,334.35025
990,Total,231.289596
991,Total,165.063491
992,Total,160.371124
993,Total,203.293685
994,Total,274.326385
995,Total,206.713439
998,Total,33.568626
999,Total,32.124023
1000,Total,54.31744
1001,Total,50.235958
1002,Total,45.272544
1003,Total,52.521812
1004,Total,71.721687
1005,Total,73.760192
1006,Total,108.870132
1007,Total,107.746261
1008,Total,196.221481
1009,Total,252.34465
1010,Total,6.018707
1011,Total,13.007247
1012,Total,5.689905
1013,Total,2.572752
1014,Total,5.075117
1015,Total,4.5685
1016,Total,64.123657
1017,Total,518.94281
1018,Total,484.812683
1019,Total,490.31607
1020,Total,482.49475
1021,Total,359.024566
1022,Total,310.631011
1023,Total,280.81192
1024,Total,251.641235
1025,Total,310.69226
1026,Total,274.001556
1027,Total,280.870391
1028,Total,172.558105
1029,Total,165.365112
1030,Total,259.60379
1031,Total,284.14566
1032,Total,259.36856
1035,Total,23.821195
1036,Total,29.820583
1037,Total,55.81427
1038,Total,43.94812
1039,Total,51.845378
1040,Total,89.654472
1041,Total,79.032066
1042,Total,63.491725
1043,Total,114.452842
1044,Total,117.439575
1045,Total,122.357521
1046,Total,104.806785
1047,Total,13.03035
1048,Total,8.122398
1049,Total,3.258701
1050,Total,2.030434
1051,Total,2.419191
1052,Total,2.116436
1053,Total,2.250515
1054,Total,59.510364
1055,Total,501.858154
1056,Total,543.148254
1057,Total,539.806701
1058,Total,572.393371
1059,Total,578.296875
1060,Total,383.327087
1061,Total,306.897583
1062,Total,261.170654
1063,Total,246.072921
1064,Total,247.059219
1065,Total,201.924774
1066,Total,249.553192
1067,Total,244.411605
1068,Total,231.874862
1069,Total,232.952484
1070,Total,54.337165
1072,Total,128.227416
1073,Total,79.075073
1074,Total,27.304767
1075,Total,78.518302
1076,Total,65.844558
1077,Total,61.880016
1078,Total,119.40628
1079,Total,64.094512
1080,Total,94.513259
1081,Total,119.19696
1082,Total,125.572898
1083,Total,151.802124
1084,Total,107.227874
1085,Total,117.03128
1086,Total,5.399916
1087,Total,5.485408
1088,Total,2.07286
1089,Total,1.648232
1090,Total,1.894166
1092,Total,49.341613
1093,Total,624.653869
1094,Total,428.05484
1095,Total,526.360656
1096,Total,576.077209
1097,Total,488.804962
1098,Total,373.053466
1099,Total,323.093811
1100,Total,220.180374
1101,Total,222.587265
1102,Total,294.154785
1103,Total,295.977691
1104,Total,254.571441
1105,Total,300.593627
1106,Total,255.417068
1107,Total,152.546783
1110,Total,180.266006
1111,Total,62.657032
1112,Total,53.970745
1113,Total,112.813369
1114,Total,82.979423
1116,Total,125.139511
1117,Total,148.332916
1118,Total,84.960304
1119,Total,157.434936
1120,Total,161.273864
1121,Total,234.881301
1122,Total,128.738708
1123,Total,41.025241
1124,Total,2.643224
1125,Total,5.485408
1126,Total,2.07286
1127,Total,1.648232
1128,Total,1.894166
1129,Total,49.341613
1130,Total,538.346923
1131,Total,598.792724
1132,Total,720.670227
1133,Total,524.416503
1134,Total,626.644531
1135,Total,390.296997
1136,Total,343.94342
1137,Total,326.548522
1138,Total,495.227966
1139,Total,346.569549
1140,Total,144.212768
1141,Total,92.598869
1142,Total,73.736831
1143,Total,104.481544
1144,Total,70.281227
1145,Total,177.372055
1146,Total,140.725769
1147,Total,177.74559
1148,Total,140.89035
1149,Total,90.380294
1150,Total,97.407417
