OID,param,emissions
450,Total,13.651837
451,Total,8.297086
452,Total,7.049072
453,Total,5.694003
454,Total,1.172105
455,Total,2.006034
456,Total,1.687907
457,Total,1.017103
458,Total,2.496327
459,Total,99.967308
460,Total,117.489265
461,Total,8.550554
462,Total,8.313636
463,Total,11.708292
464,Total,19.027748
466,Total,2.78521
467,Total,5.020949
468,Total,5.064319
469,Total,7.370326
470,Total,20.476095
471,Total,20.890607
472,Total,11.808347
473,Total,19.657852
474,Total,25.243776
475,Total,17.327198
476,Total,21.605279
477,Total,28.12198
478,Total,4.071571
479,Total,25.203294
480,Total,14.124984
481,Total,28.301694
486,Total,12.585916
487,Total,0
490,Total,16.782035
493,Total,13.975331
494,Total,7.893674
495,Total,8.417578
496,Total,5.789464
497,Total,4.711991
498,Total,13.674071
499,Total,19.446969
500,Total,6.34874
501,Total,2.243634
502,Total,1.896116
503,Total,1.76571
504,Total,134.227325
505,Total,8.399033
507,Total,17.196271
508,Total,17.726554
509,Total,7.187479
511,Total,16.856046
512,Total,7.562214
513,Total,10.945569
514,Total,11.337251
515,Total,8.91413
516,Total,19.483041
517,Total,18.001106
518,Total,21.014659
519,Total,15.615636
520,Total,10.362586
521,Total,17.835256
522,Total,26.905929
523,Total,25.354501
525,Total,62.678382
526,Total,46.740489
529,Total,8.609038
530,Total,31.392467
531,Total,33.358489
532,Total,23.810285
537,Total,27.870697
538,Total,8.154367
539,Total,9.114915
540,Total,6.643075
541,Total,8.289113
542,Total,4.89282
543,Total,3.464453
545,Total,1.575303
546,Total,3.498301
547,Total,2.251994
548,Total,2.1082
549,Total,130.846862
550,Total,15.345532
551,Total,9.212262
552,Total,6.153732
553,Total,11.501262
554,Total,7.51737
555,Total,5.485096
556,Total,2.766956
557,Total,10.329294
558,Total,15.275728
559,Total,14.199753
560,Total,12.429802
561,Total,20.903726
562,Total,24.132936
563,Total,15.604062
564,Total,13.359686
565,Total,15.650999
566,Total,29.099445
567,Total,28.444538
568,Total,28.151191
569,Total,11.254948
570,Total,49.268314
573,Total,9.528254
574,Total,11.009032
575,Total,41.400943
576,Total,23.94314
577,Total,33.657409
581,Total,20.41732
582,Total,5.801416
583,Total,8.044713
584,Total,6.369048
585,Total,8.431751
586,Total,1.914641
587,Total,4.708782
588,Total,3.464453
590,Total,1.575303
591,Total,3.498301
592,Total,2.251994
593,Total,116.110908
