OID,density
1227,223.364028
1228,126.919685
1229,126.887947
1230,68.650657
1231,1407.071044
1232,1704.914794
1233,1261.81726
1234,821.318237
1235,166.061843
1236,206.521133
1237,537.062194
1238,822.252746
1239,810.718383
1240,646.180358
1241,783.167968
1242,110.72393
1243,599.987854
1244,588.208007
1245,440.163574
1246,418.57904
1247,333.653137
1248,296.744323
1249,235.497009
1250,298.096618
1251,517.647644
1252,378.417877
1253,537.185607
1254,505.55368
1255,528.912414
1256,360.236907
1257,179.730667
1258,132.219528
1259,96.880241
1260,110.187194
1261,123.419883
1262,127.018066
1263,68.801345
1264,263.104705
1265,1304.359497
1266,1734.105834
1267,1632.938354
1268,852.33789
1269,1057.336303
1270,1060.44104
1271,1205.540527
1272,1102.178588
1273,746.7359
1274,697.786071
1275,705.80426
1276,178.609558
1277,506.706939
1278,379.425048
1279,349.59375
1280,247.723449
1281,250.593307
1282,285.573852
1283,277.443267
1284,533.864807
1285,429.501007
1286,484.378204
1287,473.412261
1288,463.959777
1289,381.744506
1290,566.450988
1291,418.010864
1292,140.06047
1293,168.253692
1294,119.252853
1295,186.379364
1296,209.914657
1297,52.820842
1298,101.049407
1299,151.002197
1300,74.31282
1301,321.572814
1302,321.957733
1303,495.762298
1304,661.724731
1305,889.54486
1306,1360.31311
1307,1238.004394
1308,1072.305664
1309,721.901123
1310,730.286254
1311,562.54718
1312,579.019653
1313,254.026611
1314,560.07965
1315,342.682128
1316,362.784759
1317,243.256286
1318,219.720458
1319,253.722137
1320,299.780609
1321,500.956909
1322,470.992004
1323,497.06488
1324,471.390441
1325,438.897888
1326,556.243164
1327,389.488311
1328,345.115112
1329,127.810409
1330,146.437988
1331,150.532363
1332,244.456893
1333,274.393402
1334,176.758956
1335,380.717468
1336,160.093429
1337,77.545883
1338,85.927467
1339,69.240425
1340,57.848941
1341,195.325027
1342,989.678894
1343,960.122985
1344,676.242736
1345,734.472778
1346,734.996704
1347,1024.858032
1348,945.598266
1349,489.051574
1350,524.833801
1351,639.520935
1352,484.009948
1353,358.827362
1354,642.051574
1355,472.143157
1356,190.86795
1357,257.203613
1358,241.285659
1359,321.029876
1360,430.070892
1361,440.447448
1362,460.070129
1363,544.713439
1364,442.745971
1365,436.076354
1366,332.66159
1367,170.373291
1368,47.890998
1369,81.526
1370,166.827331
1371,228.156112
1372,271.766723
1373,376.905151
1374,387.801849
1375,175.254592
1376,230.479812
1377,95.533584
1378,143.557174
1379,43.02621
1380,120.718383
1381,138.085784
1382,143.81195
1383,346.300872
1384,1340.075317
1385,1188.341674
1386,756.106994
1387,748.181579
1388,770.881347
1389,740.675048
1390,556.262268
1391,340.409301
1392,512.844055
1393,630.241088
1394,589.992004
1395,231.996017
1396,697.135375
1397,496.624084
1398,259.923583
1399,328.901031
1400,354.336761
1401,491.065948
1402,501.15744
1403,479.80725
1404,446.683074
1405,480.870056
1406,476.690643
1407,393.48291
1408,301.575439
1409,68.683876
1410,28.039184
1411,18.949104
1412,37.240207
1413,116.905998
1414,209.511322
1415,289.927398
1416,308.076599
1417,268.321228
1418,394.613128
1419,160.969924
1420,273.862121
1421,64.488487
1422,75.551185
1423,211.856948
1424,199.410064
1425,140.070007
1426,366.835693
1427,507.858703
1428,448.845092
1429,1076.098388
1430,1063.708251
1431,1053.932006
1432,773.632385
1433,973.351074
1434,1115.799072
1435,748.71936
1436,468.264953
1437,534.44049
1438,528.484436
1439,499.080261
1440,570.392639
1441,234.940277
1442,539.978393
1443,493.255187
1444,401.696014
1445,312.070129
1446,398.751617
1447,524.512512
1448,568.281311
1449,551.756042
1450,437.168426
1451,442.199279
1452,483.285858
1453,408.65686
1454,266.460784
1455,82.977584
1456,68.161842
1457,86.032279
1458,18.917642
1459,42.665763
1460,157.414855
1461,169.016448
1462,235.689666
1463,184.081878
1464,204.116577
1465,204.178527
1466,311.089294
1467,215.017761
1468,83.380157
1469,97.429061
1470,119.837966
1471,233.305725
1472,297.691253
1473,624.644287
1474,570.480224
1475,1156.29602
1476,1292.904052
1477,1225.556274
1478,1213.980346
1479,1151.915527
1480,883.245727
1481,786.23175
1482,411.101287
1483,321.519805
1484,534.70758
1485,554.936401
1486,495.016784
1487,639.23114
1488,407.988342
1489,289.464447
1490,839.304565
1491,566.5755
1492,474.927551
1493,439.995391
1494,441.31665
1495,487.944854
1496,576.484313
1497,547.471496
1498,455.580291
1499,428.410949
1500,444.327301
1501,428.197265
1502,398.866577
1503,140.948883
1504,101.968955
1505,102.610633
1506,71.268608
1507,28.952451
1508,59.104
1509,92.097953
1510,151.398864
1511,262.917297
1512,359.401245
1513,341.400848
1514,282.681396
1515,221.77713
1516,177.42897
1517,95.06224
1518,101.654823
1519,166.730941
1520,181.248291
1521,766.555664
1522,881.980651
1523,547.017639
1524,513.247192
1525,624.664367
1526,1168.387695
1527,1009.139465
1528,970.425781
1529,768.695922
1530,468.3414
1531,303.202026
1532,338.152099
1533,388.321777
1534,480.020874
1535,613.191345
1536,609.447875
1537,760.115234
1538,202.978332
1539,274.252227
1540,860.908752
1541,688.56311
1542,467.065979
1543,414.037841
1544,402.032165
1545,413.577423
1546,507.474822
1547,535.157775
1548,480.643615
1549,454.474182
1550,413.522918
1551,325.21759
1552,250.872558
1553,85.668067
1554,18.192949
1555,15.658208
1556,17.193008
1557,26.871299
1558,61.311866
1559,84.708091
1560,145.113204
1561,208.977416
1562,359.659484
1563,219.94876
1564,235.687362
1565,174.690139
1566,222.017852
1567,153.874343
1568,54.90298
1569,66.318252
1570,150.038269
1571,134.725097
1572,320.561431
1573,888.568298
1574,1479.804321
1575,780.75769
1576,490.303894
1577,566.250488
1578,643.862609
1579,692.682006
1580,669.048889
1581,636.15924
1582,762.286987
1583,498.552551
1584,380.322204
1585,555.924865
1586,648.056823
1587,765.967712
1588,901.82611
1589,1185.214111
1590,234.290878
1591,457.356567
1592,873.770324
1593,545.816467
1594,432.168579
1595,317.671325
1596,446.685699
1597,359.831115
1598,485.19461
1599,485.236236
1600,484.405151
1601,517.232421
1602,385.441162
1603,196.999877
1604,148.043869
1605,117.522651
1606,26.287378
1607,11.825871
1608,11.267765
1609,9.806826
1610,21.903657
1611,55.961383
1612,117.858932
1613,160.784545
1614,128.491561
1615,86.992599
1616,167.953063
1617,130.152404
1618,60.265727
1619,128.038253
1620,94.715637
1621,77.18032
1622,133.696456
1623,341.34201
1624,1024.227783
1625,1065.080322
1626,980.078918
1627,361.953399
1628,398.975219
1629,545.044067
1630,474.348449
1631,992.876464
1632,1059.386108
1633,478.7518
1634,672.50653
1635,438.651763
1636,409.315063
1637,582.213012
1638,469.230468
1639,643.013671
1640,937.618652
1641,638.534362
1642,255.205673
1643,605.658874
1644,659.744201
1645,474.449707
1646,258.253112
1647,393.088134
1648,563.370361
1649,451.43457
1650,431.32077
1651,491.77182
1652,570.077636
1653,530.354064
1654,356.193878
1655,177.93254
1656,166.991088
1657,153.982955
1658,38.757606
1659,14.180403
1660,11.725917
1661,8.879543
1662,25.386125
1663,36.762603
1664,59.679222
1665,65.45478
1666,108.148574
1667,107.335144
1668,45.777412
1669,103.788497
1670,89.600112
1671,162.1949
1672,177.05281
1673,56.662448
1674,293.906982
1675,1114.28247
1676,1354.394897
1677,903.174987
1678,562.911193
1679,580.921447
1680,701.23944
1681,764.802612
1682,1244.44519
1683,1080.875122
1684,393.634826
1685,826.518188
1686,506.083801
1687,724.87854
1688,541.609863
1689,336.087982
1690,550.815429
1691,915.33319
1692,469.341369
1693,409.095886
1694,585.251953
1695,617.877502
1696,444.406646
1697,427.294128
1698,471.446441
1699,523.594421
1700,502.841949
1701,418.717651
1702,421.849426
1703,460.581024
1704,491.02008
1705,352.077697
1706,245.753433
1707,179.283737
1708,148.307235
1709,71.3768
1710,37.913192
1711,18.288688
1712,25.892734
1713,31.921871
1714,23.467872
1715,58.47367
1716,71.969924
1717,72.277221
1718,136.36473
1719,202.499877
1720,168.41719
1721,165.099349
1722,162.1949
1723,177.05281
1724,56.662448
1725,293.906982
1726,1114.28247
1727,1354.394897
1728,903.174987
1729,562.911193
1730,580.921447
1731,574.578796
1732,532.459106
1733,791.799377
1734,593.733581
1735,878.525573
1736,1121.713012
1737,711.099243
1738,1276.647583
1739,703.927612
1740,349.349151
1741,237.207794
1742,987.46173
1743,269.757843
1744,545.75122
1745,556.880798
1746,521.171691
1747,476.592529
1748,468.881927
1749,388.451202
1750,403.830688
1751,396.24002
1752,388.586547
1753,345.395629
1754,312.760589
1755,328.006622
1756,321.360198
1757,272.347564
1758,206.594512
1759,190.904296
1760,105.719078
1761,33.812671
1762,11.555779
1763,35.694892
1764,66.587242
1765,81.741958
1766,58.47367
1767,71.969924
1768,72.277221
1769,136.36473
1770,202.499877
1771,168.41719
1772,165.099349
1773,95.558792
1774,135.860122
1775,60.915138
1776,84.210258
1777,68.706382
1778,353.462463
1779,608.072998
1780,598.702453
1781,615.091247
1782,643.512939
1783,574.578796
1784,532.459106
1785,791.799377
1786,593.733581
1787,878.525573
1788,1121.713012
1789,711.099243
1790,1276.647583
1791,703.927612
1792,349.349151
1793,237.207794
1794,776.371398
1795,207.191986
1796,610.952209
1797,600.437927
1798,600.616943
1799,578.880004
1800,636.803771
1801,544.728088
1802,455.911071
1803,342.900695
1804,368.502563
1805,318.313232
1806,312.760589
1807,328.006622
1808,321.360198
1809,272.347564
1810,206.594512
1811,190.904296
1812,105.719078
1813,33.812671
1814,11.555779
1815,35.694892
1816,66.587242
1817,81.741958
1818,80.127998
1819,86.559684
1820,77.778404
1821,140.210876
1822,154.977142
1823,188.967773
1824,166.018966
1825,87.029212
1826,71.489112
1827,101.515007
1828,111.910453
1829,107.794067
1830,74.448326
1831,354.6893
1832,160.532562
1833,404.379364
1834,467.720703
1835,466.814544
1836,652.574462
1837,573.936035
1838,781.579528
1839,1034.421997
1840,830.464477
1841,823.172424
1842,634.848083
1843,506.202484
1844,512.136474
1845,776.371398
1846,207.191986
1847,610.952209
1848,600.437927
1849,600.616943
1850,578.880004
1851,636.803771
1852,544.728088
1853,455.911071
1854,342.900695
1855,368.502563
1856,318.313232
1857,284.335998
1858,310.392364
1859,275.327331
1860,254.06401
1861,200.107894
1862,114.133049
1863,39.392921
1864,20.38775
1865,15.70276
1866,24.195819
1867,87.912826
1868,81.428062
1869,80.159393
1870,86.479736
1871,119.372863
1872,171.275817
1873,178.833862
1874,178.49208
1875,116.542663
1876,131.540679
1877,109.091278
1878,93.025703
1879,102.292579
1880,91.191398
1881,175.751037
1882,448.287689
1883,679.87854
1884,670.903747
1885,635.856018
1886,606.364868
1887,547.124938
1888,1083.870971
1889,840.857177
1890,391.777252
1891,435.65155
1892,629.11322
1893,663.098205
1894,810.28186
1895,107.687316
1896,248.352523
1897,547.939392
1898,592.103576
1899,594.96173
1900,428.341796
1901,346.181182
1902,434.463317
1903,456.103057
1904,478.275268
1905,381.32019
1906,353.152648
1907,308.394409
1908,296.763488
1909,278.581115
1910,194.781143
1911,47.953559
1912,33.263889
1913,35.330486
1914,51.944702
1915,99.053237
1916,127.077072
1917,138.831634
1918,113.624168
1919,110.1212
1920,97.7863
1921,110.088676
1922,105.763961
1923,109.73207
1924,144.444198
1925,254.130325
1926,140.915725
1927,124.276679
1928,52.687358
1929,18.867975
1930,267.881896
1931,515.370361
1932,817.647766
1933,649.806152
1934,675.379272
1935,568.852294
1936,670.337829
1937,1010.080139
1938,882.346679
1939,638.119445
1940,370.605133
1941,478.520904
1942,594.277282
1943,584.872558
1944,230.72264
1945,274.731811
1946,563.213317
1947,529.186584
1948,463.443481
1949,406.658599
1950,493.171264
1951,487.690795
1952,523.253112
1953,435.852325
1954,398.224914
1955,392.723754
1956,371.742065
1957,287.200134
1958,285.833618
1959,213.452255
1960,118.925743
1961,41.287689
1962,81.374633
1963,144.862854
1964,224.574417
1965,260.619201
1966,111.485633
1967,140.788421
1968,140.045944
1969,124.632568
1970,93.85028
1971,94.049247
1972,148.121627
1973,115.664428
1974,194.738662
1975,54.733245
1976,305.55072
1977,479.084014
1978,311.496459
1979,307.623687
1980,461.121765
1981,287.311401
1982,314.88565
1983,686.790283
1984,865.547119
1985,506.513275
1986,453.809082
1987,604.363464
1988,535.651611
1989,478.175384
1990,374.3479
1991,273.350952
1992,450.170135
1993,458.759124
1994,489.538452
1995,486.053649
1996,356.863647
1997,253.13327
1998,182.033966
1999,21.26353
2000,48.874965
2001,82.143806
2002,67.12751
2003,28.780982
2004,14.589382
2005,250.06047
2006,449.380767
2007,630.291625
2008,445.729614
2009,606.621704
2010,513.780212
2011,473.428375
2012,486.109741
2013,703.013549
2014,196.147613
2015,757.269165
2016,207.891891
2017,125.051605
2018,59.373573
2019,219.239532
2020,523.716308
2021,852.544921
2022,574.169311
2023,530.318786
2024,557.057006
2025,585.833984
