OID,param,emissions
540,Total,16.946952
542,Total,7.550077
543,Total,1.325256
545,Total,1.018159
546,Total,1.33588
549,Total,20.348554
550,Total,4.437989
551,Total,3.834405
552,Total,3.189886
553,Total,3.421278
554,Total,3.288435
555,Total,3.308418
556,Total,4.316663
557,Total,3.513297
558,Total,10.770811
559,Total,9.170064
560,Total,7.785681
561,Total,9.735049
562,Total,17.22916
563,Total,19.898847
564,Total,20.377817
565,Total,22.333152
566,Total,14.367638
567,Total,10.83598
568,Total,11.761513
569,Total,0.041875
570,Total,49.055503
573,Total,21.130479
574,Total,20.861162
577,Total,0.200335
581,Total,16.061962
582,Total,12.60361
583,Total,11.667182
584,Total,15.481261
585,Total,8.707504
586,Total,1.887624
588,Total,1.325256
590,Total,1.018159
591,Total,1.33588
593,Total,16.802627
594,Total,18.613815
595,Total,3.790376
596,Total,3.578682
597,Total,3.997991
598,Total,3.856992
599,Total,3.803514
600,Total,3.389458
601,Total,2.255561
602,Total,3.423704
603,Total,9.068961
604,Total,9.283941
605,Total,8.235771
606,Total,22.70532
607,Total,20.21507
608,Total,12.565382
609,Total,11.590331
610,Total,12.942099
611,Total,12.549354
614,Total,0.03626
617,Total,15.916618
624,Total,14.864534
625,Total,15.387492
626,Total,12.60361
627,Total,11.667182
628,Total,15.481261
629,Total,8.707504
630,Total,1.887624
632,Total,1.175382
633,Total,1.718603
634,Total,1.615088
635,Total,1.522452
637,Total,16.802627
638,Total,18.613815
639,Total,3.790376
640,Total,3.578682
641,Total,7.592992
642,Total,6.524331
643,Total,3.657115
644,Total,3.35094
645,Total,2.441035
646,Total,3.824454
647,Total,4.186853
648,Total,13.028618
649,Total,2.615682
650,Total,3.663313
651,Total,13.413421
652,Total,16.938106
653,Total,15.852403
654,Total,16.208703
655,Total,13.341668
656,Total,13.055618
657,Total,10.899966
658,Total,7.552673
661,Total,15.916618
668,Total,14.864534
669,Total,15.387492
670,Total,7.206185
671,Total,13.400735
672,Total,7.414927
673,Total,1.987819
674,Total,1.929386
676,Total,2.223347
677,Total,1.614394
678,Total,1.872904
679,Total,1.182017
681,Total,19.298023
682,Total,17.321157
683,Total,4.210219
684,Total,3.543915
685,Total,3.773569
686,Total,7.592992
687,Total,6.524331
688,Total,3.657115
689,Total,3.35094
690,Total,2.441035
691,Total,3.824454
692,Total,4.186853
693,Total,13.028618
694,Total,2.615682
695,Total,3.663313
696,Total,13.413421
697,Total,16.938106
698,Total,15.852403
699,Total,16.208703
700,Total,13.341668
701,Total,13.055618
702,Total,10.899966
703,Total,7.552673
705,Total,14.993592
706,Total,17.467239
707,Total,21.716396
708,Total,46.855834
709,Total,38.123653
710,Total,42.085693
711,Total,46.665939
712,Total,10.046061
713,Total,10.042433
714,Total,13.405462
715,Total,4.747889
716,Total,8.46211
717,Total,2.385062
718,Total,2.459931
719,Total,1.765964
723,Total,1.456667
726,Total,21.798328
727,Total,7.536094
728,Total,7.782745
729,Total,7.948182
730,Total,6.897259
731,Total,6.700185
732,Total,7.593662
733,Total,7.820259
734,Total,4.128425
735,Total,2.612741
736,Total,3.906578
737,Total,4.090552
738,Total,8.76445
739,Total,2.866518
740,Total,3.616708
741,Total,2.953624
742,Total,18.446105
743,Total,15.035696
745,Total,13.675686
746,Total,11.650835
749,Total,17.383863
750,Total,24.277387
751,Total,21.553409
752,Total,27.433338
753,Total,44.536319
754,Total,56.754787
755,Total,40.006839
756,Total,8.694489
757,Total,7.733632
758,Total,6.882709
759,Total,7.812371
761,Total,8.194629
762,Total,1.522413
763,Total,1.817856
764,Total,2.113102
765,Total,4.234427
766,Total,1.840484
767,Total,1.399824
768,Total,1.36083
770,Total,22.168773
771,Total,18.064159
772,Total,8.011668
773,Total,8.59871
774,Total,6.275136
775,Total,6.402441
776,Total,6.578273
777,Total,7.066808
778,Total,6.415141
779,Total,4.303605
780,Total,3.525878
781,Total,4.512441
782,Total,3.475283
783,Total,2.511053
784,Total,2.49228
785,Total,3.550565
786,Total,3.803754
787,Total,13.164971
788,Total,15.223466
789,Total,12.283144
793,Total,23.518726
794,Total,23.82382
795,Total,26.183952
796,Total,52.297775
797,Total,51.208023
798,Total,45.815422
799,Total,38.36034
800,Total,7.895289
801,Total,8.741688
802,Total,6.886579
804,Total,2.022933
805,Total,1.816668
806,Total,2.35297
807,Total,2.540667
808,Total,0.956099
809,Total,1.399068
810,Total,1.125274
812,Total,24.790893
813,Total,12.439594
814,Total,9.110508
815,Total,7.299973
816,Total,7.135173
817,Total,8.144662
818,Total,6.154548
819,Total,5.312806
820,Total,4.13439
821,Total,5.030719
822,Total,4.98217
823,Total,2.412574
824,Total,2.408521
825,Total,2.249977
826,Total,18.482379
827,Total,14.453427
828,Total,12.640356
830,Total,13.854194
834,Total,8.347883
835,Total,8.775004
836,Total,20.202608
837,Total,21.857721
838,Total,10.582876
839,Total,8.777615
840,Total,8.302101
841,Total,13.879128
843,Total,10.673851
845,Total,2.320733
846,Total,2.935417
847,Total,1.714411
848,Total,2.796927
849,Total,2.318928
850,Total,1.437999
851,Total,13.482239
852,Total,12.166753
853,Total,24.012655
854,Total,24.420995
855,Total,9.211113
856,Total,9.846174
857,Total,8.564615
858,Total,7.379834
859,Total,8.020331
860,Total,8.34451
861,Total,6.206897
862,Total,4.931724
863,Total,4.573284
864,Total,3.070291
865,Total,4.580007
866,Total,2.516066
867,Total,3.213158
868,Total,14.45114
869,Total,16.358879
